season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2020/21,1,ONK Metković,22,18,2,2,55,15,40,56
2020/21,2,NK Croatia Gabrili,22,18,1,3,54,15,39,55
2020/21,3,NK Župa dubrovačka,22,14,4,4,57,24,33,46
2020/21,4,HNK Slaven Gruda,22,9,5,8,43,28,15,32
2020/21,5,NK Gusar,22,8,3,11,38,42,-4,27
2020/21,6,NK Jadran Smokvica,22,7,5,10,38,50,-12,26
2020/21,7,HNK Konavljanin,22,7,3,12,35,41,-6,24
2020/21,8,NK Sokol (D),22,7,2,13,30,47,-17,23
2020/21,9,NK Maestral,22,7,2,13,31,57,-26,23
2020/21,10,NK Žrnovo,22,6,4,12,26,55,-29,22
2020/21,11,NK Orebić,22,7,3,12,36,41,-5,22
2020/21,12,NK Hajduk 1932,22,4,6,12,25,53,-28,18
